old.acc	run	biosample	taxid	size	isolation	geolocation	coords	phylum	order	family	genus	species	habitat	laboratory	libstrat	libsource	assembly_suyo	bases
SRR14583829	SRR14583829	SRS9013998	2584083	2.18647968675941	NA	Chile: Los Molinos, Valdivia	NA	Annelida	Spionida	Spionidae	Boccardia	Boccardia wellingtonensis	Marine	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5350081302
SRS4549415	SRR8799331	SRS4549415	188204	6.5751953125	N/A	Sweden: Vastergotland, Lerum, Aspen Lake	57.7657 N 12.2526 E	Annelida	Haplotaxida	Naididae	Bothrioneurum	Bothrioneurum vejdovskyanum	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	11080215200
SRS5084250	SRR9668456	SRS5084250	195543	2.3447265625	NA	NA	NA	Annelida	Haplotaxida	Naididae	Branchiura	Branchiura sowerbyi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6470877000
SRS4549422	SRR8799324	SRS4549422	251439	4.13671875	N/A	Australia: Victoria	37.354 S 145.706 E	Annelida	Capilloventrida	Capilloventridae	Capilloventer	Capilloventer australis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6542992800
SRR12833252	SRR12833252	SRS7534185	283909	15.586619486101	NA	NA	NA	Annelida		Capitellidae	Capitella	Capitella teleta	Marine	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9240865694
SRS374610	SRR786598	SRS374610	2837877	2.267578125	NA	NA	NA	Annelida	Crassiclitellata	Hormogastridae	Carpetania	Carpetania matritensis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3882093570
SRS6087410	SRR10997419	SRS6087410	212246	2.2978515625	N/A	Sweden: Vastergotland, Lerum, Aspen Lake	57.7657 N 12.2526 E	Annelida	Haplotaxida	Naididae	Chaetogaster	Chaetogaster diaphanus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3722880200
SRS2054711	SRR5353276	SRS2054711	169922	2.5068359375	N/A	Hungary: Farmos, Pest County	NA	Annelida	Crassiclitellata	Almidae	Criodrilus	Criodrilus lacuum	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4220872332
SRS2054706	SRR5353271	SRS2054706	1963245	5.3193359375	N/A	France: Midi-Pyrenees, Ariege, Cazavet, L'Estelas Cave, in water	NA	Annelida	Haplotaxida	Haplotaxidae	Delaya	Delaya leruthi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8492402600
SRS2054698	SRR5353263	SRS2054698	1302596	3.5654296875	N/A	Sweden: Sodermanland, Vingaker, Valltrand, indoor compost	NA	Annelida	Crassiclitellata	Lumbricidae	Dendrobaena	Dendrobaena hortensis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5973354200
SRS2054714	SRR5353279	SRS2054714	169954	3.8271484375	N/A	France: Guadeloupe, Chutes Carbet, Basse Terre	NA	Annelida	Crassiclitellata	Megascolecidae	Dichogaster	Dichogaster saliens	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6003904400
SRS2054712	SRR5353277	SRS2054712	1963176	2.51953125	N/A	Brazil: Amazonas, near Manaus, Reserva Campina	NA	Annelida	Crassiclitellata	Megascolecidae	Dichogaster	Dichogaster sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4254200928
SRS5161615	SRR9841574	SRS5161615	2598133	2.8447265625	soil	India: Bhubaneswar	20.3040 N 85.8397 E	Annelida	Moniligastrida	Moniligastridae	Drawida	Drawida calebi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7353500400
SRS2054687	SRR5353252	SRS2054687	1963188	2.8349609375	N/A	USA: Tonganoxie, Kansas	NA	Annelida	Moniligastrida	Moniligastridae	Drawida	Drawida sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4832760438
SRS6183264	SRR11129799	SRS6183264	168636	2.6376953125	NA	NA	NA	Annelida	Crassiclitellata	Lumbricidae	Eisenia	Eisenia andrei	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6658208700
SRS8455429	SRR13957616	SRS8455429	6396	2.509765625	missing	China: Hebei	NA	Annelida	Crassiclitellata	Lumbricidae	Eisenia	Eisenia fetida	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8672082510
SRS2243644	SRR5633675	SRS2243644	6390	8.392578125	culture	not applicable	NA	Annelida	Enchytraeida	Enchytraeidae	Enchytraeus	Enchytraeus albidus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	12479057864
SRS6087412	SRR10997417	SRS6087412	913645	4.552734375	N/A	N/A	NA	Annelida	Enchytraeida	Enchytraeidae	Enchytraeus	Enchytraeus crypticus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7878422100
SRS8580302	SRR14074244	SRS8580302	169957	3.779296875	vermi bed	India	8.7637 N 77.6486 E	Annelida	Crassiclitellata	Eudrilidae	Eudrilus	Eudrilus eugeniae	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9124841400
SRS2054709	SRR5353274	SRS2054709	1963177	2.55078125	N/A	Brazil: Assistencia, Sao Paulo, Fazenda Sta Rosa	NA	Annelida	Crassiclitellata	Glossoscolecidae	Fimoscolex	Fimoscolex sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4415314128
SRS2054696	SRR5353261	SRS2054696	1963183	3.3896484375	N/A	France: Aveyron, L'Hospitalet du Larzac	NA	Annelida	Crassiclitellata	Lumbricidae	Gatesona	Gatesona chaetophora	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5724652000
SRS2054689	SRR5353254	SRS2054689	1963186	2.751953125	N/A	South Africa: Western Cape, Stellenbosch	NA	Annelida	Crassiclitellata	Microchaetidae	Geogenia	Geogenia benhami	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4644944600
SRS2054708	SRR5353273	SRS2054708	1963178	2.8818359375	N/A	Brazil: Amazonas, near Manaus, Reserva Ducke	NA	Annelida	Crassiclitellata	Glossoscolecidae	Glossodrilus	Glossodrilus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4824632400
SRS2054707	SRR5353272	SRS2054707	1963179	2.6875	N/A	Brazil: Parana, Campina Grande do Sul, Caratuva peak trail	NA	Annelida	Crassiclitellata	Glossoscolecidae	Glossoscolex	Glossoscolex sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4516810200
SRR5167051	SRR5167051	SRS1914466	104710	3.13113436195999	NA	France: Roscoff	NA	Annelida	Phyllodocida	Glyceridae	Glycera	Glycera tridactyla	Marine	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4952215065
SRS6087380	SRR10997449	SRS6087380	1702338	4.701171875	N/A	South Africa: Van Dyks Bay	34.354 S 19.5892 E	Annelida	Enchytraeida	Enchytraeidae	Grania	Grania simonae	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7821162200
SRS6087381	SRR10997448	SRS6087381	2705230	4.4404296875	N/A	Brazil: Garatuva Elfin Forest	NA	Annelida	Enchytraeida	Enchytraeidae	Guaranidrilus	Guaranidrilus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7126184200
SRS2054703	SRR5353268	SRS2054703	1963182	2.162109375	N/A	Brazil: Amazonas, Reserva Ducke	NA	Annelida	Haplotaxida	Haplotaxidae		Haplotaxidae sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3647283486
SRS2054705	SRR5353270	SRS2054705	188776	2.939453125	N/A	Sweden: Vastergotland, Goteborg, seeping groundwater at Goteborg Botanical Garden	NA	Annelida	Enchytraeida	Enchytraeidae	Haplotaxis	Haplotaxis gordioides	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5054143404
SRR15013284	SRR15013284	SRS9358759	1366558	4.05826227925718	Laboratory culture	not applicable	NA	Annelida	Rhynchobdellida	Glossiphoniidae	Helobdella	Helobdella austinensis	Freshwater	TRUE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8680681744
ERS682558	ERR790007	ERS682558	991114	2.9423828125	NA	NA	NA	Annelida	Crassiclitellata	Hormogastridae	Hemigastrodrilus	Hemigastrodrilus monicae	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4245617618
SRS4549418	SRR8799328	SRS4549418	2562123	7.236328125	N/A	Australia: Queensland, Heron Island	23.444 S 151.913 E	Annelida	Haplotaxida	Naididae	Heronidrilus	Herondrilus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	11168410400
SRS6087383	SRR10997446	SRS6087383	2705231	4.12109375	N/A	Australia: Queensland, Heron Island (Reef)	23.444 S 151.913 E	Annelida	Haplotaxida	Naididae	Heterodrilus	Heterodrilus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6226135200
SRR14354811	SRR14354811	SRS8798366	42736	7.95269305631518	NA	NA	NA	Annelida	Hirudinida	Hirudinidae	Hirudo	Hirudo nipponia	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	18281252296
ERS682554	ERR790002	ERS682554	452201	2.4833984375	NA	NA	NA	Annelida	Crassiclitellata	Hormogastridae	Hormogaster	Hormogaster riojana	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3542392392
SRS374608	SRR618446	SRS374608	991110	4.1572265625	NA	NA	NA	Annelida	Crassiclitellata	Hormogastridae	Hormogaster	Hormogaster samnitica	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7985603440
SRS2054685	SRR5353251	SRS2054685	1963189	2.5244140625	N/A	Brazil: Parana, Graciosa Road	NA	Annelida	Crassiclitellata	Megascolecidae	Kerriona	Kerriona sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4271572956
SRS2054700	SRR5353265	SRS2054700	195559	3.9150390625	N/A	USA: Sideling Hill Wildlife Mgmt. Area, Washington County, Maryland	NA	Annelida	Lumbriculida	Komarekionidae	Komarekiona	Komarekiona eatoni	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6817758018
SRS2054699	SRR5353264	SRS2054699	1963244	2.544921875	N/A	Madagascar: Antsirabe, 19 46'38.60S 47 06'41.69E	NA	Annelida	Crassiclitellata	Kynotidae	Kynotus	Kynotus pittarellii	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4210261200
SRS5161616	SRR9841573	SRS5161616	1215174	3.169921875	soil	India: Bhubaneswar	20.3040 N 85.8397 E	Annelida	Crassiclitellata	Megascolecidae	Lampito	Lampito mauritii	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8118199200
SRS6087385	SRR10997444	SRS6087385	2705233	3.7998046875	N/A	South Africa: Van Dyks Bay	34.354 S 19.5892 E	Annelida	Haplotaxida	Naididae	Limnodriloides	Limnodriloides sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6383319600
SRS2054693	SRR5353258	SRS2054693	61662	3.072265625	N/A	Sweden: Vastergotland, Goteborg, Guldheden, spring S of Dr Fries Torg	NA	Annelida	Lumbriculida	Lumbriculidae	Lumbriculus	Lumbriculus variegatus	Freshwater	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5081052600
SRS3402097	SRR7287338	SRS3402097	81491	7.8291015625	Field collected animals	France	NA	Annelida	Crassiclitellata	Lumbricidae	Lumbricus	Lumbricus castaneus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	22058813100
SRS5694403	SRR10499238	SRS5694403	35632	2.9638671875	laboratory strain	Netherlands: Wageningen	NA	Annelida	Crassiclitellata	Lumbricidae	Lumbricus	Lumbricus rubellus	Terrestrial	TRUE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5635604016
SRS453609	SRR923752	SRS453609	6398	2.7958984375	NA	NA	NA	Annelida	Crassiclitellata	Lumbricidae	Lumbricus	Lumbricus terrestris	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4801586148
SRS2054719	SRR5353284	SRS2054719	914183	2.7607421875	N/A	New Zealand: WD, Kellys Creek, Otira, 17 Jan 2011, T.R. Buckley, R. Leschen, TB487, under logs, 42 48.123 S, 171 34.298 E, 332 m	NA	Annelida	Crassiclitellata	Acanthodrilidae	Maoridrilus	Maoridrilus wilkini	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4607026002
SRS6087386	SRR10997443	SRS6087386	310568	3.55859375	N/A	Sweden: Vastergotland, Lerum, Lilla Brata	57.7423 N 12.2185 E	Annelida	Enchytraeida	Enchytraeidae	Mesenchytraeus	Mesenchytraeus armatus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5865583000
SRS6087387	SRR10997442	SRS6087387	310566	3.4169921875	N/A	Canada: Western North America glaciers	NA	Annelida	Enchytraeida	Enchytraeidae	Mesenchytraeus	Mesenchytraeus pedatus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5645006200
SRS6087388	SRR10997441	SRS6087388	223748	4.4482421875	N/A	Canada: Western North America glaciers	NA	Annelida	Enchytraeida	Enchytraeidae	Mesenchytraeus	Mesenchytraeus solifugus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7418808000
SRS4156496	SRR8334746	SRS4156496	437222	2.5166015625	NA	China: Shanghai	NA	Annelida	Crassiclitellata	Megascolecidae	Metaphire	Metaphire guillelmi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8784507144
SRS7207861	SRR12458320	SRS7207861	1196096	2.9775390625	Farm land	China: Jiangsu	NA	Annelida	Crassiclitellata	Megascolecidae	Metaphire	Metaphire vulgaris	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9845161500
SRS2054688	SRR5353253	SRS2054688	1963187	3.359375	N/A	South Africa: Western Cape, Tokai Swamp	NA	Annelida	Crassiclitellata	Microchaetidae		Microchaetidae sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5605427800
SRS2054690	SRR5353255	SRS2054690	1963185	5.02734375	N/A	South Africa: Northern Cape, Niewwoudtville	NA	Annelida	Crassiclitellata	Microchaetidae	Microchaetus	Microchaetus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7707698400
ERS865076	ERR1147311	ERS865076	188229	19.4814453125	NA	Italy	NA	Annelida	Haplotaxida	Naididae	Olavius	Olavius algarvensis	Terrestrial	FALSE	RNA-Seq	METATRANSCRIPTOMIC	FALSE	26801302242
SRS4549417	SRR8799329	SRS4549417	2562122	3.6162109375	N/A	Australia: Queensland, Lizard Island, off Corner Beach	14.6723 S 145.4427 E	Annelida	Haplotaxida	Naididae	Olavius	Olavius sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5697585000
SRS5554575	SRR10323724	SRS5554575	1711999	4.74609375	Oligochaeta sp (mix of RNA from multiple individuals)	China: Beijing	NA	Annelida				Oligochaeta sp.	Terrestrial	FALSE	RNA-Seq	METATRANSCRIPTOMIC	FALSE	10499902500
SRS2054718	SRR5353283	SRS2054718	1963171	2.830078125	N/A	South Africa: Western Cape, Table Mountain	NA	Annelida	Crassiclitellata	Acanthodrilidae	Parachilota	Parachilota sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4677251418
SRS6087390	SRR10997439	SRS6087390	2705234	3.21484375	N/A	USA: Oregon, Coos Bay Flats	43.4 N 124.2 W	Annelida	Haplotaxida	Naididae	Paranais	Paranais sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5065324800
SRS4549410	SRR8799336	SRS4549410	1171980	3.3359375	N/A	France: Thurins, Galerie de la Martiniere	45.681 N 4.648 E	Annelida	Haplotaxida	Parvidrilidae	Parvidrilus	Parvidrilus meyssonnieri	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5593587800
SRS2054704	SRR5353269	SRS2054704	1963180	2.9658203125	N/A	Australia: 25 km south of Busselton, Rapids Conservation Park, Margaret River	NA	Annelida	Haplotaxida	Haplotaxidae	Pelodrilus	Pelodrilus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5092687440
SRS6281757	SRR11266802	SRS6281757	168854	2.837890625	NA	NA	NA	Annelida	Crassiclitellata	Megascolecidae	Perionyx	Perionyx excavatus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5320982798
SRS6087391	SRR10997438	SRS6087391	2705235	2.486328125	N/A	USA: Oregon, Rock Creek	NA	Annelida	Lumbriculida	Lumbriculidae	Phagodrilus	Phagodrilus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4280622414
SRS6087393	SRR10997436	SRS6087393	2705237	2.4111328125	N/A	Australia: Western Australia, S of Northcliffe, Chudalup Mountain, large granite outcropping with trickle of water	34.7635 S 116.0867 E	Annelida	Haplotaxida	Phreodrilidae		Phreodrilidae sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3990184344
SRS6087396	SRR10997433	SRS6087396	195581	4.642578125	N/A	Brazil: Parana	25.322 S 49.157 W	Annelida	Crassiclitellata	Glossoscolecidae	Pontoscolex	Pontoscolex corethrurus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7050112600
SRS6087397	SRR10997432	SRS6087397	2705240	2.9169921875	N/A	Italy: Genga, Frasassi Caves, Grotta Sulfurea	43.401 N 12.966 E	Annelida	Haplotaxida	Naididae	Potamothrix	Potamothrix sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8320608812
SRS2054686	SRR5353250	SRS2054686	251477	2.869140625	N/A	Sweden: Blekinge, Ronneby, Vaby, Braknean River, sand in rapids	NA	Annelida	Haplotaxida	Propappidae	Propappus	Propappus volki	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4767209760
SRS6087398	SRR10997431	SRS6087398	2705241	5.044921875	N/A	Australia: Queensland, Lizard Island, Ferriers Creek	14.6662 S 145.4513 E	Annelida	Enchytraeida	Randiellidae	Randiella	Randiella sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7632856600
SRS2054684	SRR5353249	SRS2054684	1079177	2.9755859375	N/A	Brazil: Amazonas, Reserve Ducke	NA	Annelida	Crassiclitellata	Glossoscolecidae	Rhinodrilus	Rhinodrilus priollii	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4984420800
SRS4549421	SRR8799325	SRS4549421	1348610	2.9619140625	N/A	France: Doubr, NE of Besancon, Crotot Cave	47.446 N 6.409 E	Annelida	Haplotaxida	Naididae	Rhyacodrilus	Rhyacodrilus pigueti	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4900409600
SRS2054697	SRR5353262	SRS2054697	1537953	3.2431640625	N/A	France: Midi-Pyrenees, Ariege, Malegoude	NA	Annelida	Crassiclitellata	Lumbricidae	Scherotheca	Scherotheca savignyi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5379079200
SRS2054682	SRR5353247	SRS2054682	1963190	4.6484375	N/A	USA: Louisiana, Tangipahoa River	NA	Annelida	Lumbriculida	Sparganophilidae	Sparganophilus	Sparganophilus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7334402000
SRS6087399	SRR10997430	SRS6087399	77571	5.5146484375	N/A	Sweden: Vastergotland, Goteborg, Guldheden, spring S of Dr Fries Torg	57.6827 N 11.9707 E	Annelida	Lumbriculida	Lumbriculidae	Stylodrilus	Stylodrilus heringianus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9462118400
SRR6766872	SRR6766872	SRS2995004	1963251	5.21717554051429	Pacific Ocean, intertidal coastal sample, in Perumytilus purpuratus beds	Chile: Las Cruces	33.50 S 71.63 W	Annelida	Phyllodocida	Syllidae	Syllis	Syllis magdalena	Intertidal zone	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8211691200
SRS6087402	SRR10997427	SRS6087402	1736119	2.767578125	N/A	France: Neuville-sur-Saone, Fontaine Camille	45.62 N 4.84 E	Annelida	Lumbriculida	Lumbriculidae	Trichodrilus	Trichodrilus strandi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4403876400
SRS4549423	SRR8799323	SRS4549423	2507403	2.9609375	N/A	France: Doubr, NE of Besancon, Crotot Cave	47.446 N 6.409 E	Annelida	Haplotaxida	Naididae	Troglodrilus	Troglodrilus jugeti	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4906525200
SRS2054683	SRR5353248	SRS2054683	1046389	4.3388671875	N/A	Brazil: Rio Grande do Sul, Santo Cristo	NA	Annelida	Crassiclitellata	Glossoscolecidae	Urobenus	Urobenus brasiliensis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7329748600
ERS682556	ERR790005	ERS682556	991116	4.1220703125	NA	NA	NA	Annelida	Crassiclitellata	Hormogastridae	Vignysa	Vignysa teres	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5958847490
SRR11610572	SRR11610572	SRS6536576	486152	4.22871705051512	Field	China: Zhejiang, Hangzhou, Fuyang	NA	Annelida	Hirudinida	Haemopidae	Whitmania	Whitmania pigra	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	10763183400
ERS682559	ERR790004	ERS682559	680083	4.92578125	NA	NA	NA	Annelida	Crassiclitellata	Hormogastridae	Xana	Xana omodeoi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7153326818
SRS492122	SRR1024076	SRS492122	575412	4.1044921875	NA	NA	NA	Arthropoda	Araneae	Theraphosidae	Acanthoscurria	Acanthoscurria geniculata	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7006227840
SRS6677137	SRR11809740	SRS6677137	1211104	5.521484375	captivity	Brazil	NA	Arthropoda	Araneae	Theraphosidae	Acanthoscurria	Acanthoscurria rondoniae	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	14330201400
SRS7406290	SRR12687660	SRS7406290	2773964	6.0107421875	whole body	Trinidad and Tobago	NA	Arthropoda	Araneae	Actinopodidae	Actinopus	Actinopus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	11106384663
SRS1168626	SRR2924718	SRS1168626	703423	2.51171875	Idaho, Idaho County, Falls Point Road	USA: Idaho, Idaho County, Falls Point Rd	46.0422 N 115.29579999 W	Arthropoda	Opiliones	Ceratolasmatidae	Acuclavella	Acuclavella merickeli	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4253754653
SRS4999038	SRR9332004	SRS4999038	1691953	4.62890625	NA	South Africa: Western Cape Province, Simon's Town, Cape Point Nature Reserve, Hoek van Bobbejaan Trail View Site	NA	Arthropoda	Pseudoscorpiones	Geogarypidae	Afrogarypus	Afrogarypus subimpressus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9172904700
